10000054.SH,false,上证50ETF1506P2.5,2015/2/12,2015/6/24,2.5,10000,133,2015/2/12
10000055.SH,true,上证50ETF1509C2.5,2015/2/12,2015/9/23,2.5,10000,224,2015/2/12
10000056.SH,false,上证50ETF1509P2.5,2015/2/12,2015/9/23,2.5,10000,224,2015/2/12
10000057.SH,true,上证50ETF1503C2.55,2015/2/27,2015/3/25,2.55,10000,27,2015/2/27
10000058.SH,false,上证50ETF1503P2.55,2015/2/27,2015/3/25,2.55,10000,27,2015/2/27
10000059.SH,true,上证50ETF1504C2.55,2015/2/27,2015/4/22,2.55,10000,55,2015/2/27
10000060.SH,false,上证50ETF1504P2.55,2015/2/27,2015/4/22,2.55,10000,55,2015/2/27
10000061.SH,true,上证50ETF1506C2.55,2015/2/27,2015/6/24,2.55,10000,118,2015/2/27
10000062.SH,false,上证50ETF1506P2.55,2015/2/27,2015/6/24,2.55,10000,118,2015/2/27
10000063.SH,true,上证50ETF1509C2.55,2015/2/27,2015/9/23,2.55,10000,209,2015/2/27
10000064.SH,false,上证50ETF1509P2.55,2015/2/27,2015/9/23,2.55,10000,209,2015/2/27
10000065.SH,true,上证50ETF1503C2.6,2015/3/17,2015/3/25,2.6,10000,9,2015/3/17
10000066.SH,false,上证50ETF1503P2.6,2015/3/17,2015/3/25,2.6,10000,9,2015/3/17
10000067.SH,true,上证50ETF1504C2.6,2015/3/17,2015/4/22,2.6,10000,37,2015/3/17
10000068.SH,false,上证50ETF1504P2.6,2015/3/17,2015/4/22,2.6,10000,37,2015/3/17
10000069.SH,true,上证50ETF1506C2.6,2015/3/17,2015/6/24,2.6,10000,100,2015/3/17
10000070.SH,false,上证50ETF1506P2.6,2015/3/17,2015/6/24,2.6,10000,100,2015/3/17
10000071.SH,true,上证50ETF1509C2.6,2015/3/17,2015/9/23,2.6,10000,191,2015/3/17
10000072.SH,false,上证50ETF1509P2.6,2015/3/17,2015/9/23,2.6,10000,191,2015/3/17
10000073.SH,true,上证50ETF1503C2.65,2015/3/18,2015/3/25,2.65,10000,8,2015/3/18
10000074.SH,false,上证50ETF1503P2.65,2015/3/18,2015/3/25,2.65,10000,8,2015/3/18
10000075.SH,true,上证50ETF1504C2.65,2015/3/18,2015/4/22,2.65,10000,36,2015/3/18
10000076.SH,false,上证50ETF1504P2.65,2015/3/18,2015/4/22,2.65,10000,36,2015/3/18
10000077.SH,true,上证50ETF1506C2.65,2015/3/18,2015/6/24,2.65,10000,99,2015/3/18
10000078.SH,false,上证50ETF1506P2.65,2015/3/18,2015/6/24,2.65,10000,99,2015/3/18
10000079.SH,true,上证50ETF1509C2.65,2015/3/18,2015/9/23,2.65,10000,190,2015/3/18
10000080.SH,false,上证50ETF1509P2.65,2015/3/18,2015/9/23,2.65,10000,190,2015/3/18
10000081.SH,true,上证50ETF1503C2.7,2015/3/19,2015/3/25,2.7,10000,7,2015/3/19
10000082.SH,false,上证50ETF1503P2.7,2015/3/19,2015/3/25,2.7,10000,7,2015/3/19
10000083.SH,true,上证50ETF1504C2.7,2015/3/19,2015/4/22,2.7,10000,35,2015/3/19
10000084.SH,false,上证50ETF1504P2.7,2015/3/19,2015/4/22,2.7,10000,35,2015/3/19
10000085.SH,true,上证50ETF1506C2.7,2015/3/19,2015/6/24,2.7,10000,98,2015/3/19
10000086.SH,false,上证50ETF1506P2.7,2015/3/19,2015/6/24,2.7,10000,98,2015/3/19
10000087.SH,true,上证50ETF1509C2.7,2015/3/19,2015/9/23,2.7,10000,189,2015/3/19
10000088.SH,false,上证50ETF1509P2.7,2015/3/19,2015/9/23,2.7,10000,189,2015/3/19
10000089.SH,true,上证50ETF1503C2.75,2015/3/23,2015/3/25,2.75,10000,3,2015/3/23
10000090.SH,false,上证50ETF1503P2.75,2015/3/23,2015/3/25,2.75,10000,3,2015/3/23
10000091.SH,true,上证50ETF1504C2.75,2015/3/23,2015/4/22,2.75,10000,31,2015/3/23
10000092.SH,false,上证50ETF1504P2.75,2015/3/23,2015/4/22,2.75,10000,31,2015/3/23
10000093.SH,true,上证50ETF1506C2.75,2015/3/23,2015/6/24,2.75,10000,94,2015/3/23
10000094.SH,false,上证50ETF1506P2.75,2015/3/23,2015/6/24,2.75,10000,94,2015/3/23
10000095.SH,true,上证50ETF1509C2.75,2015/3/23,2015/9/23,2.75,10000,185,2015/3/23
10000096.SH,false,上证50ETF1509P2.75,2015/3/23,2015/9/23,2.75,10000,185,2015/3/23
10000097.SH,true,上证50ETF1503C2.8,2015/3/24,2015/3/25,2.8,10000,2,2015/3/24
10000098.SH,false,上证50ETF1503P2.8,2015/3/24,2015/3/25,2.8,10000,2,2015/3/24
10000099.SH,true,上证50ETF1504C2.8,2015/3/24,2015/4/22,2.8,10000,30,2015/3/24
10000100.SH,false,上证50ETF1504P2.8,2015/3/24,2015/4/22,2.8,10000,30,2015/3/24
10000101.SH,true,上证50ETF1506C2.8,2015/3/24,2015/6/24,2.8,10000,93,2015/3/24
10000102.SH,false,上证50ETF1506P2.8,2015/3/24,2015/6/24,2.8,10000,93,2015/3/24
10000103.SH,true,上证50ETF1509C2.8,2015/3/24,2015/9/23,2.8,10000,184,2015/3/24
10000104.SH,false,上证50ETF1509P2.8,2015/3/24,2015/9/23,2.8,10000,184,2015/3/24
10000105.SH,true,上证50ETF1505C2.5,2015/3/26,2015/5/27,2.5,10000,63,2015/3/26
10000106.SH,true,上证50ETF1505C2.55,2015/3/26,2015/5/27,2.55,10000,63,2015/3/26
10000107.SH,true,上证50ETF1505C2.6,2015/3/26,2015/5/27,2.6,10000,63,2015/3/26
10000108.SH,true,上证50ETF1505C2.65,2015/3/26,2015/5/27,2.65,10000,63,2015/3/26
10000109.SH,true,上证50ETF1505C2.7,2015/3/26,2015/5/27,2.7,10000,63,2015/3/26
10000110.SH,false,上证50ETF1505P2.5,2015/3/26,2015/5/27,2.5,10000,63,2015/3/26
10000111.SH,false,上证50ETF1505P2.55,2015/3/26,2015/5/27,2.55,10000,63,2015/3/26
10000112.SH,false,上证50ETF1505P2.6,2015/3/26,2015/5/27,2.6,10000,63,2015/3/26
10000113.SH,false,上证50ETF1505P2.65,2015/3/26,2015/5/27,2.65,10000,63,2015/3/26
10000114.SH,false,上证50ETF1505P2.7,2015/3/26,2015/5/27,2.7,10000,63,2015/3/26
10000115.SH,true,上证50ETF1505C2.75,2015/3/27,2015/5/27,2.75,10000,62,2015/3/27
10000116.SH,false,上证50ETF1505P2.75,2015/3/27,2015/5/27,2.75,10000,62,2015/3/27
10000117.SH,true,上证50ETF1504C2.85,2015/3/31,2015/4/22,2.85,10000,23,2015/3/31
10000118.SH,false,上证50ETF1504P2.85,2015/3/31,2015/4/22,2.85,10000,23,2015/3/31
10000119.SH,true,上证50ETF1505C2.8,2015/3/31,2015/5/27,2.8,10000,58,2015/3/31
10000120.SH,true,上证50ETF1505C2.85,2015/3/31,2015/5/27,2.85,10000,58,2015/3/31
10000121.SH,false,上证50ETF1505P2.8,2015/3/31,2015/5/27,2.8,10000,58,2015/3/31
10000122.SH,false,上证50ETF1505P2.85,2015/3/31,2015/5/27,2.85,10000,58,2015/3/31
10000123.SH,true,上证50ETF1506C2.85,2015/3/31,2015/6/24,2.85,10000,86,2015/3/31
10000124.SH,false,上证50ETF1506P2.85,2015/3/31,2015/6/24,2.85,10000,86,2015/3/31
10000125.SH,true,上证50ETF1509C2.85,2015/3/31,2015/9/23,2.85,10000,177,2015/3/31
10000126.SH,false,上证50ETF1509P2.85,2015/3/31,2015/9/23,2.85,10000,177,2015/3/31
10000127.SH,true,上证50ETF1504C2.9,2015/4/8,2015/4/22,2.9,10000,15,2015/4/8
10000128.SH,true,上证50ETF1504C2.95,2015/4/8,2015/4/22,2.95,10000,15,2015/4/8
10000129.SH,false,上证50ETF1504P2.9,2015/4/8,2015/4/22,2.9,10000,15,2015/4/8
10000130.SH,false,上证50ETF1504P2.95,2015/4/8,2015/4/22,2.95,10000,15,2015/4/8
10000131.SH,true,上证50ETF1505C2.9,2015/4/8,2015/5/27,2.9,10000,50,2015/4/8
10000132.SH,true,上证50ETF1505C2.95,2015/4/8,2015/5/27,2.95,10000,50,2015/4/8
10000133.SH,false,上证50ETF1505P2.9,2015/4/8,2015/5/27,2.9,10000,50,2015/4/8
10000134.SH,false,上证50ETF1505P2.95,2015/4/8,2015/5/27,2.95,10000,50,2015/4/8
10000135.SH,true,上证50ETF1506C2.9,2015/4/8,2015/6/24,2.9,10000,78,2015/4/8
10000136.SH,true,上证50ETF1506C2.95,2015/4/8,2015/6/24,2.95,10000,78,2015/4/8
10000137.SH,false,上证50ETF1506P2.9,2015/4/8,2015/6/24,2.9,10000,78,2015/4/8
10000138.SH,false,上证50ETF1506P2.95,2015/4/8,2015/6/24,2.95,10000,78,2015/4/8
10000139.SH,true,上证50ETF1509C2.9,2015/4/8,2015/9/23,2.9,10000,169,2015/4/8
10000140.SH,true,上证50ETF1509C2.95,2015/4/8,2015/9/23,2.95,10000,169,2015/4/8
10000141.SH,false,上证50ETF1509P2.9,2015/4/8,2015/9/23,2.9,10000,169,2015/4/8
10000142.SH,false,上证50ETF1509P2.95,2015/4/8,2015/9/23,2.95,10000,169,2015/4/8
10000143.SH,true,上证50ETF1504C3,2015/4/9,2015/4/22,3,10000,14,2015/4/9
10000144.SH,false,上证50ETF1504P3,2015/4/9,2015/4/22,3,10000,14,2015/4/9
10000145.SH,true,上证50ETF1505C3,2015/4/9,2015/5/27,3,10000,49,2015/4/9
10000146.SH,false,上证50ETF1505P3,2015/4/9,2015/5/27,3,10000,49,2015/4/9
10000147.SH,true,上证50ETF1506C3,2015/4/9,2015/6/24,3,10000,77,2015/4/9
10000148.SH,false,上证50ETF1506P3,2015/4/9,2015/6/24,3,10000,77,2015/4/9
10000149.SH,true,上证50ETF1509C3,2015/4/9,2015/9/23,3,10000,168,2015/4/9
10000150.SH,false,上证50ETF1509P3,2015/4/9,2015/9/23,3,10000,168,2015/4/9
10000151.SH,true,上证50ETF1504C3.1,2015/4/13,2015/4/22,3.1,10000,10,2015/4/13
10000152.SH,false,上证50ETF1504P3.1,2015/4/13,2015/4/22,3.1,10000,10,2015/4/13
10000153.SH,true,上证50ETF1505C3.1,2015/4/13,2015/5/27,3.1,10000,45,2015/4/13
10000154.SH,false,上证50ETF1505P3.1,2015/4/13,2015/5/27,3.1,10000,45,2015/4/13
10000155.SH,true,上证50ETF1506C3.1,2015/4/13,2015/6/24,3.1,10000,73,2015/4/13
10000156.SH,false,上证50ETF1506P3.1,2015/4/13,2015/6/24,3.1,10000,73,2015/4/13
10000157.SH,true,上证50ETF1509C3.1,2015/4/13,2015/9/23,3.1,10000,164,2015/4/13
10000158.SH,false,上证50ETF1509P3.1,2015/4/13,2015/9/23,3.1,10000,164,2015/4/13
10000159.SH,true,上证50ETF1504C3.2,2015/4/14,2015/4/22,3.2,10000,9,2015/4/14
10000160.SH,false,上证50ETF1504P3.2,2015/4/14,2015/4/22,3.2,10000,9,2015/4/14
10000161.SH,true,上证50ETF1505C3.2,2015/4/14,2015/5/27,3.2,10000,44,2015/4/14
10000162.SH,false,上证50ETF1505P3.2,2015/4/14,2015/5/27,3.2,10000,44,2015/4/14
10000163.SH,true,上证50ETF1506C3.2,2015/4/14,2015/6/24,3.2,10000,72,2015/4/14
10000164.SH,false,上证50ETF1506P3.2,2015/4/14,2015/6/24,3.2,10000,72,2015/4/14
10000165.SH,true,上证50ETF1509C3.2,2015/4/14,2015/9/23,3.2,10000,163,2015/4/14
10000166.SH,false,上证50ETF1509P3.2,2015/4/14,2015/9/23,3.2,10000,163,2015/4/14
10000167.SH,true,上证50ETF1504C3.3,2015/4/17,2015/4/22,3.3,10000,6,2015/4/17
10000168.SH,false,上证50ETF1504P3.3,2015/4/17,2015/4/22,3.3,10000,6,2015/4/17
10000169.SH,true,上证50ETF1505C3.3,2015/4/17,2015/5/27,3.3,10000,41,2015/4/17
10000170.SH,false,上证50ETF1505P3.3,2015/4/17,2015/5/27,3.3,10000,41,2015/4/17
10000171.SH,true,上证50ETF1506C3.3,2015/4/17,2015/6/24,3.3,10000,69,2015/4/17
10000172.SH,false,上证50ETF1506P3.3,2015/4/17,2015/6/24,3.3,10000,69,2015/4/17
